redshift    gw_detected    grb_detected    DeltaOmega    telt_vr    lsstg    lssti    telt_ztf    ztfg    ztfi    telt_pstarrs    ps1::g    ps1::i    telt_ultrasat    ultrasat_custom    radio_afterglow    opt_afterglow    xray_afterglow    telt_vr_afterglow    kn_visible    grb_afg_visible    kn_afg_visible     
0.914    1    0    63.14    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
2.091    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
3.999    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.453    1    0    28.43    0    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0    0    0    0    
1.140    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.606    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.014    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.838    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.528    1    0    52.72    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.896    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.909    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
3.304    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.590    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.638    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.459    1    0    13.50    0    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0    0    0    0    
2.600    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.805    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.851    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.755    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.137    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.810    1    0    25.04    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
2.801    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.454    1    0    25.95    0    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0    0    0    0    
0.434    1    0    7.73    0.06574074074074074    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0    0    0    0    
1.013    1    0    19.89    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.580    1    0    61.59    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.859    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.192    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.764    1    0    38.73    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.293    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.960    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.729    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.041    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.508    1    0    51.28    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
7.202    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.841    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.419    1    0    11.91    0    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0    0    0    0    
2.059    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
3.201    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.689    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.609    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.061    1    0    22.37    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.432    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.896    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.629    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.936    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.570    1    0    48.53    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.931    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.230    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.552    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.663    1    0    46.46    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.358    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.395    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.373    1    0    46.60    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.958    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.008    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.515    1    0    246.32    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.417    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.420    1    0    75.33    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.259    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
3.727    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.598    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.946    1    0    28.78    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.880    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
5.031    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.467    1    0    67.59    0    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0    0    0    0    
2.006    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.509    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.632    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.403    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
3.449    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.933    1    0    49.37    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.614    1    0    104.68    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.144    1    0    225.53    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.335    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.705    1    0    48.44    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
3.260    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.109    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.261    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.722    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.154    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.757    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.082    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.637    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.689    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.133    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.858    1    0    167.85    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.575    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.914    1    0    20.85    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.585    1    0    69.05    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.048    1    0    76.83    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.839    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.710    1    0    19.74    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.562    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.293    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.489    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.289    1    0    58.26    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.268    1    0    94.54    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.870    1    0    50.16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
3.170    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.769    1    0    74.47    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
2.516    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.186    1    0    0.65    0    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0    0    0    0    
1.294    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.172    1    0    109.53    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.875    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
3.045    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.156    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.898    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.749    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.325    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.388    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.781    1    0    85.91    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.581    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.635    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.845    1    0    65.86    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
2.283    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.303    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.590    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.371    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.586    1    0    23.30    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.142    1    0    43.27    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.886    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.290    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.436    1    0    158.90    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
2.334    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.055    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.701    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.272    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
5.145    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.783    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.339    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.734    1    0    43.45    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.843    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.025    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.290    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.846    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.024    1    1    10.00    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.202    1    0    37.46    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.369    1    0    217.94    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.282    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
4.240    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.565    1    0    71.73    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.241    1    0    11.18    0    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0    0    0    0    
4.369    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.530    1    0    4.92    0.06574074074074074    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.942    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.443    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.981    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.423    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.415    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.995    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.078    1    0    67.90    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.732    1    0    33.63    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
2.604    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.120    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.097    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.980    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.093    1    0    51.42    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
2.349    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.712    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.490    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.279    0    1    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.353    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.619    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.540    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.457    1    0    58.44    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
0.912    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.479    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.176    1    1    10.00    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.781    1    0    68.73    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
1.855    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.236    1    0    92.10    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0    0    0    0    
6.142    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.089    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.982    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.283    1    0    4.70    0.06574074074074074    1    1    0    0    0    0    0    0    0    0    0    0    1    0.0    1    2    0    
1.340    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.091    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.836    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.314    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
1.750    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
2.099    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     
0.256    1    0    2.60    0.06574074074074074    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0    0    0    0    
