0.03 5.041e+13 3.581e+31 
0.63 1.242e+15 2.416e+35
0.06 1.009e+14 3.148e+32 
0.66 1.315e+15 2.685e+35
0.09 1.518e+14 1.237e+33 
0.69 1.390e+15 2.972e+35
0.12 2.031e+14 3.124e+33 
0.72 1.466e+15 3.260e+35
0.15 2.549e+14 6.126e+33 
0.75 1.543e+15 3.556e+35
0.18 3.073e+14 1.040e+34 
0.78 1.621e+15 3.863e+35
0.21 3.604e+14 1.624e+34 
0.81 1.701e+15 4.182e+35
0.24 4.144e+14 2.389e+34 
0.84 1.782e+15 4.512e+35
0.27 4.694e+14 3.360e+34 
0.87 1.865e+15 4.856e+35
0.30 5.256e+14 4.561e+34 
0.90 1.949e+15 5.191e+35
0.33 5.839e+14 5.711e+34 
0.93 2.034e+15 5.517e+35
0.36 6.438e+14 6.924e+34 
0.96 2.120e+15 5.847e+35
0.39 7.050e+14 8.313e+34 
0.99 2.208e+15 6.183e+35
0.42 7.676e+14 9.883e+34 
1.02 2.296e+15 6.525e+35
0.45 8.315e+14 1.149e+35 
1.05 2.386e+15 6.875e+35
0.48 8.967e+14 1.321e+35 
1.08 2.476e+15 7.232e+35
0.51 9.631e+14 1.508e+35 
1.11 2.569e+15 7.597e+35
0.54 1.031e+15 1.710e+35 
1.14 2.662e+15 7.969e+35
0.57 1.100e+15 1.928e+35 
1.17 2.756e+15 8.346e+35
0.60 1.170e+15 2.164e+35 
1.20 2.852e+15 8.727e+35
